ID,Full_Prompt
1,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
The Thompson family is going to spend two weeks in Ocean City, but for Darell it will be a working vacation, since he'll be checking in with the office every day. (0) oxymoron (1) euphemism (100 points)
2. Select the one substance that is not a mineral. (0) Chrysotile is a solid. It is formed in nature. (1) Fluorite is a solid. It is formed in nature. (2) Cheese is not a pure substance. It is made by humans. (10 points)
3. Which i in column 4? (0) the theater (1) the fire department (2) the pond (3) the shopping mall (1 points)
4. Which logical fallacy is used in the text?
Mabel never lies. She told me herself, so it must be true. (0) circular reasoning: an argument that supports a claim with the claim itself (1) ad hominem: a personal attack against one's opponent (50 points)

What is your choice and its answer?"
2,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Hear the sledges with the bells,
Silver bells!
. . . . . . . . .
How they tinkle, tinkle, tinkle,
In the icy air of night!
—Edgar Allan Poe, ""The Bells"" (0) verbal irony (1) onomatopoeia (100 points)
2. Which property matches this object? (0) scratchy (1) breakable (1 points)
3. Which tense does the sentence use?
I will float on my back in the pool. (0) present tense (1) past tense (2) future tense (10 points)
4. Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature? (0) sample B (1) sample A (2) neither; the samples have the same temperature (50 points)

What is your choice and its answer?"
3,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Complete the sentence so that it uses personification.
Cindy groaned as her shrill alarm clock (). (0) went off (1) sprang to life (100 points)
2. Which change better matches the sentence?
Lava comes out from below Earth's surface. (0) wildfire (1) volcanic eruption (1 points)
3. Complete the sentence.
The Thingvellir Rift Valley formed at a () boundary. (0) divergent (1) convergent (2) transform (50 points)
4. Which word would you find on a dictionary page with the following guide words?
scream - slide (0) suitcase (1) shallow (10 points)

What is your choice and its answer?"
4,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which of the following contains a vague pronoun reference? (0) Mrs. Herman told her friend that she needs to exercise on a regular basis and get more sleep in order to have more energy throughout the day. (1) Mrs. Herman told her friend to exercise on a regular basis and get more sleep in order to have more energy throughout the day. (100 points)
2. What information supports the conclusion that Seth acquired this trait? (0) Seth is most interested in plant biology. (1) Seth learned biology by doing experiments. (10 points)
3. What can Jasmine and Bryan trade to each get what they want? (0) Jasmine can trade her tomatoes for Bryan's carrots. (1) Bryan can trade his broccoli for Jasmine's oranges. (2) Bryan can trade his almonds for Jasmine's tomatoes. (3) Jasmine can trade her tomatoes for Bryan's broccoli. (50 points)
4. Which word does not rhyme? (0) fake (1) lake (2) bike (1 points)

What is your choice and its answer?"
5,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Choose the poem that uses anaphora. (0) You and I shall laugh together with the storm,
And together we shall dig graves for all that die in us,
And we shall stand in the sun with a will,
And we shall be dangerous. (1) All Nashville is a chill. And everywhere
Like desert sand, when the winds blow,
There is each moment sifted through the air,
A powdered blast of January snow. (100 points)
2. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (0) The strength of the magnetic force is the same in both pairs. (1) The magnetic force is stronger in Pair 1. (2) The magnetic force is stronger in Pair 2. (10 points)
3. Which country is highlighted? (0) Barbados (1) the Dominican Republic (2) Saint Lucia (3) Saint Vincent and the Grenadines (50 points)
4. Which property do these two objects have in common? (0) rough (1) stretchy (1 points)

What is your choice and its answer?"
6,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What does the euphemism in this text suggest?
""Thank you for your work over the years,"" Mrs. Becker said to her gardener. ""As of next week, however, your services will no longer be required."" (0) The gardener is retiring. (1) The gardener is being fired. (100 points)
2. Does this passage describe the weather or the climate? (0) weather (1) climate (10 points)
3. Select the organism in the same species as the brown pelican. (0) Ardea cocoi (1) Ictinia mississippiensis (2) Pelecanus occidentalis (50 points)
4. How long does it take to make a paper airplane? (0) 50 seconds (1) 50 hours (1 points)

What is your choice and its answer?"
7,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
The Dodson family is going to spend two weeks in Ocean City, but for Mateo it will be a working vacation, since he'll be checking in with the office every day. (0) euphemism (1) oxymoron (100 points)
2. Select the mixture. (0) salad (1) sugar (1 points)
3. Which is a compound sentence? (0) Mr. Duncan dedicated his book about the Alaskan wilderness to his wife and his three sons. (1) Destiny might go to the science museum with Bob, or she might go alone. (10 points)
4. Which country is highlighted? (0) the Federated States of Micronesia (1) New Zealand (2) Tuvalu (3) Tonga (50 points)

What is your choice and its answer?"
8,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What is the source of the allusion in the sentence below?
Despite Abigail's insistence that she would raise Cain if we ever got lost, we decided to try taking a shortcut. (0) Greek mythology (1) the Bible (100 points)
2. Select the temperature shown by this thermometer. (0) 45°F (1) 85°F (2) 75°F (10 points)
3. Which figure of speech is used in this text?
You've reached Eric Horton's voice mail. Please leave a detailed message at the beep, and I will return your call at my earliest convenience. (0) verbal irony (1) onomatopoeia (50 points)
4. Why are deserts so dry? (0) The sand soaks up all the rain. (1) They don't get very much rain. (1 points)

What is your choice and its answer?"
9,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which type of sentence is this?
Because most wild orchids naturally affix themselves to trees and branches, planting an orchid in soil will likely kill it. (0) simple (1) compound-complex (2) complex (3) compound (100 points)
2. Which property matches this object? (0) rough (1) stretchy (1 points)
3. Which tense does the sentence use?
I tell Jayla my opinions about her music. (0) past tense (1) present tense (2) future tense (10 points)
4. Which word would you find on a dictionary page with the following guide words?
meddle - mound (0) map (1) mild (50 points)

What is your choice and its answer?"
10,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Complete the sentence so that it uses personification.
The washing machine () when Doug ran an oversized load of laundry. (0) complained (1) broke (100 points)
2. Select the organism in the same species as the peregrine falcon. (0) Falco peregrinus (1) Strix uralensis (2) Ardea cinerea (10 points)
3. Is building a deck a good or a service? (0) a service (1) a good (1 points)
4. Which solution has a higher concentration of green particles? (0) neither; their concentrations are the same (1) Solution A (2) Solution B (50 points)

What is your choice and its answer?"
11,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Martha's Boutique claims to have ""something for everyone,"" but it is generally understood that their target market is women of a certain age. (0) euphemism (1) paradox (100 points)
2. Which logical fallacy is used in the text?
Kinsley has no school spirit—she never comes to any of our football games. (0) ad hominem: a personal attack against one's opponent (1) false dichotomy: an argument that presents only two choices when more options exist (50 points)
3. Select the animal. (0) Wombats eat plants. (1) Maple trees have star-shaped leaves. (1 points)
4. Select the fish below. (0) manta ray (1) giraffe (10 points)

What is your choice and its answer?"
12,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What does the idiom in this text suggest?
Scarlett has a lot on her plate: she is attending college, has a full-time job as a waitress, and volunteers at the animal shelter. (0) Scarlett has many responsibilities. (1) Scarlett has worked up an appetite. (100 points)
2. Which solution has a higher concentration of pink particles? (0) Solution A (1) Solution B (2) neither; their concentrations are the same (50 points)
3. Which body part lets you think? (0) brain (1) muscles (2) heart (1 points)
4. Based on the event chain, which was written first? (0) the Declaration of Independence (1) the Constitution (10 points)

What is your choice and its answer?"
13,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What is the source of the allusion in the sentence below?
Grayson's recent behavior made his parents begin to see his friend Hanson as some sort of Svengali. (0) a poem (1) literature (100 points)
2. Will these magnets attract or repel each other? (0) attract (1) repel (1 points)
3. Which type of force from the older brother moves the car forward? (0) pull (1) push (10 points)
4. Which logical fallacy is used in the text?
Don't try to tell me that you only watch educational programming, Gina! I know for a fact that your sister only watches reality television. (0) bandwagon fallacy: the assumption that the popular choice is automatically correct (1) guilt by association: a negative association intended to discredit someone or something (50 points)

What is your choice and its answer?"
14,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What does the verbal irony in this text suggest?
While waiting for her search results, Cara exclaimed, ""My Internet connection is as speedy as a snail!"" (0) The Internet connection was very fast. (1) The Internet connection was very slow. (100 points)
2. Answer the riddle.
I am made of paper.
I tell a story.
A teacher may read me out loud.
What am I? (0) a picture (1) a book (1 points)
3. What does the idiom in this text suggest?
Chloe submitted her suggestions to Dylan; now the ball is in his court. (0) Dylan needs to act next. (1) Dylan has some difficult work to do. (50 points)
4. What is the mass of a passenger airplane? (0) 47 tons (1) 47 ounces (2) 47 pounds (10 points)

What is your choice and its answer?"
15,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Dr. Kelly is unhappy with her new assistant because simple tasks, like fetching coffee, take him years to finish. (0) hyperbole (1) oxymoron (100 points)
2. How long does it take to slide down a slide? (0) 3 seconds (1) 3 minutes (1 points)
3. What can Samir and Derek trade to each get what they want? (0) Samir can trade his tomatoes for Derek's carrots. (1) Derek can trade his broccoli for Samir's oranges. (2) Derek can trade his almonds for Samir's tomatoes. (3) Samir can trade his tomatoes for Derek's broccoli. (50 points)
4. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (0) The magnitude of the magnetic force is the same in both pairs. (1) The magnitude of the magnetic force is smaller in Pair 2. (2) The magnitude of the magnetic force is smaller in Pair 1. (10 points)

What is your choice and its answer?"
16,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Choose the poem that uses anaphora. (0) You and I shall laugh together with the storm,
And together we shall dig graves for all that die in us,
And we shall stand in the sun with a will,
And we shall be dangerous. (1) All Nashville is a chill. And everywhere
Like desert sand, when the winds blow,
There is each moment sifted through the air,
A powdered blast of January snow. (100 points)
2. Look at the word. Does it have a closed syllable or an open syllable?
no (0) open (1) closed (1 points)
3. Which country is highlighted? (0) Dominica (1) the Dominican Republic (2) Jamaica (3) Haiti (50 points)
4. What is the mass of an apple? (0) 100 grams (1) 100 kilograms (10 points)

What is your choice and its answer?"
