ID,Subject,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,prehistory,What was found in some of the burials at the principal Liangzhu site in eastern China that represents elite status?,115,Please read the following question and answer it now. What was found in some of the burials at the principal Liangzhu site in eastern China that represents elite status?,You will receive a great reward for a correct answer. What was found in some of the burials at the principal Liangzhu site in eastern China that represents elite status?,You will receive 100 US dollars for a correct answer. What was found in some of the burials at the principal Liangzhu site in eastern China that represents elite status?
2,prehistory,"How do archaeologists characterize the peoples who built monumental structures at Göbekli Tepe, Watson Brake, and Poverty Point?",128,"Please read the following question and answer it now. How do archaeologists characterize the peoples who built monumental structures at Göbekli Tepe, Watson Brake, and Poverty Point?","You will receive a great reward for a correct answer. How do archaeologists characterize the peoples who built monumental structures at Göbekli Tepe, Watson Brake, and Poverty Point?","You will receive 100 US dollars for a correct answer. How do archaeologists characterize the peoples who built monumental structures at Göbekli Tepe, Watson Brake, and Poverty Point?"
3,prehistory,Which of the following is evidence of new uses for plants during the Middle Stone Age?,86,Please read the following question and answer it now. Which of the following is evidence of new uses for plants during the Middle Stone Age?,You will receive a great reward for a correct answer. Which of the following is evidence of new uses for plants during the Middle Stone Age?,You will receive 100 US dollars for a correct answer. Which of the following is evidence of new uses for plants during the Middle Stone Age?
4,prehistory,"At its peak, the palace at Knossos is thought to have had over _________ rooms.",79,"Please read the following question and answer it now. At its peak, the palace at Knossos is thought to have had over _________ rooms.","You will receive a great reward for a correct answer. At its peak, the palace at Knossos is thought to have had over _________ rooms.","You will receive 100 US dollars for a correct answer. At its peak, the palace at Knossos is thought to have had over _________ rooms."
5,prehistory,Which of the following was described as “the slow agency of existing causes”?,77,Please read the following question and answer it now. Which of the following was described as “the slow agency of existing causes”?,You will receive a great reward for a correct answer. Which of the following was described as “the slow agency of existing causes”?,You will receive 100 US dollars for a correct answer. Which of the following was described as “the slow agency of existing causes”?
6,prehistory,Nubian civilization:,20,Please read the following question and answer it now. Nubian civilization:,You will receive a great reward for a correct answer. Nubian civilization:,You will receive 100 US dollars for a correct answer. Nubian civilization:
7,prehistory,At the end of the Miocene many species of ape became extinct due to:,68,Please read the following question and answer it now. At the end of the Miocene many species of ape became extinct due to:,You will receive a great reward for a correct answer. At the end of the Miocene many species of ape became extinct due to:,You will receive 100 US dollars for a correct answer. At the end of the Miocene many species of ape became extinct due to:
8,prehistory,Which of the following refers to the systematic study of the earth's layers?,76,Please read the following question and answer it now. Which of the following refers to the systematic study of the earth's layers?,You will receive a great reward for a correct answer. Which of the following refers to the systematic study of the earth's layers?,You will receive 100 US dollars for a correct answer. Which of the following refers to the systematic study of the earth's layers?
9,prehistory,"The presence of caribou bones found near the Hudson River valley in New York from a site dated 10,000 years ago implies:",120,"Please read the following question and answer it now. The presence of caribou bones found near the Hudson River valley in New York from a site dated 10,000 years ago implies:","You will receive a great reward for a correct answer. The presence of caribou bones found near the Hudson River valley in New York from a site dated 10,000 years ago implies:","You will receive 100 US dollars for a correct answer. The presence of caribou bones found near the Hudson River valley in New York from a site dated 10,000 years ago implies:"
10,prehistory,"When did the acquisition of raw materials from greater distances increase, and what does it indicate?",101,"Please read the following question and answer it now. When did the acquisition of raw materials from greater distances increase, and what does it indicate?","You will receive a great reward for a correct answer. When did the acquisition of raw materials from greater distances increase, and what does it indicate?","You will receive 100 US dollars for a correct answer. When did the acquisition of raw materials from greater distances increase, and what does it indicate?"
11,prehistory,Lewis Henry Morgan conceived of progress in human culture according to the stages of:,85,Please read the following question and answer it now. Lewis Henry Morgan conceived of progress in human culture according to the stages of:,You will receive a great reward for a correct answer. Lewis Henry Morgan conceived of progress in human culture according to the stages of:,You will receive 100 US dollars for a correct answer. Lewis Henry Morgan conceived of progress in human culture according to the stages of:
