ID,Domain,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,geo,This is a neutral task presented in the standard way. What is the capital of France?,You will receive a great reward for a correct answer. What is the capital of France?,You will receive 100 US dollars for a correct answer. What is the capital of France?
2,geo,This is a neutral task presented in the standard way. What is the capital of Brazil?,You will receive a great reward for a correct answer. What is the capital of Brazil?,You will receive 100 US dollars for a correct answer. What is the capital of Brazil?
3,geo,This is a neutral task presented in the standard way. What is the capital of Japan?,You will receive a great reward for a correct answer. What is the capital of Japan?,You will receive 100 US dollars for a correct answer. What is the capital of Japan?
4,geo,This is a neutral task presented in the standard way. What is the capital of Germany?,You will receive a great reward for a correct answer. What is the capital of Germany?,You will receive 100 US dollars for a correct answer. What is the capital of Germany?
5,geo,This is a neutral task presented in the standard way. What is the capital of Canada?,You will receive a great reward for a correct answer. What is the capital of Canada?,You will receive 100 US dollars for a correct answer. What is the capital of Canada?
6,geo,This is a neutral task presented in the standard way. What is the capital of Australia?,You will receive a great reward for a correct answer. What is the capital of Australia?,You will receive 100 US dollars for a correct answer. What is the capital of Australia?
7,geo,This is a neutral task presented in the standard way. What is the capital of Italy?,You will receive a great reward for a correct answer. What is the capital of Italy?,You will receive 100 US dollars for a correct answer. What is the capital of Italy?
8,geo,This is a neutral task presented in the standard way. What is the capital of Russia?,You will receive a great reward for a correct answer. What is the capital of Russia?,You will receive 100 US dollars for a correct answer. What is the capital of Russia?
9,geo,This is a neutral task presented in the standard way. What is the capital of China?,You will receive a great reward for a correct answer. What is the capital of China?,You will receive 100 US dollars for a correct answer. What is the capital of China?
10,geo,This is a neutral task presented in the standard way. What is the capital of India?,You will receive a great reward for a correct answer. What is the capital of India?,You will receive 100 US dollars for a correct answer. What is the capital of India?
11,geo,This is a neutral task presented in the standard way. What is the capital of Egypt?,You will receive a great reward for a correct answer. What is the capital of Egypt?,You will receive 100 US dollars for a correct answer. What is the capital of Egypt?
12,geo,This is a neutral task presented in the standard way. What is the capital of Mexico?,You will receive a great reward for a correct answer. What is the capital of Mexico?,You will receive 100 US dollars for a correct answer. What is the capital of Mexico?
13,geo,This is a neutral task presented in the standard way. What is the capital of South Africa?,You will receive a great reward for a correct answer. What is the capital of South Africa?,You will receive 100 US dollars for a correct answer. What is the capital of South Africa?
14,geo,This is a neutral task presented in the standard way. What is the capital of Argentina?,You will receive a great reward for a correct answer. What is the capital of Argentina?,You will receive 100 US dollars for a correct answer. What is the capital of Argentina?
15,geo,This is a neutral task presented in the standard way. What is the capital of South Korea?,You will receive a great reward for a correct answer. What is the capital of South Korea?,You will receive 100 US dollars for a correct answer. What is the capital of South Korea?
16,geo,This is a neutral task presented in the standard way. What is the capital of Turkey?,You will receive a great reward for a correct answer. What is the capital of Turkey?,You will receive 100 US dollars for a correct answer. What is the capital of Turkey?
17,geo,This is a neutral task presented in the standard way. What is the capital of Spain?,You will receive a great reward for a correct answer. What is the capital of Spain?,You will receive 100 US dollars for a correct answer. What is the capital of Spain?
18,geo,This is a neutral task presented in the standard way. What is the capital of Thailand?,You will receive a great reward for a correct answer. What is the capital of Thailand?,You will receive 100 US dollars for a correct answer. What is the capital of Thailand?
19,geo,This is a neutral task presented in the standard way. What is the capital of Nigeria?,You will receive a great reward for a correct answer. What is the capital of Nigeria?,You will receive 100 US dollars for a correct answer. What is the capital of Nigeria?
