ID,Expression,Correct_Answer,Forced_Prompt
1,(10 * 10) + 148,248,Answer the following question concisely: What is (10 * 10) + 148?
2,(11 * 10) + 155,265,Answer the following question concisely: What is (11 * 10) + 155?
3,(10 * 10) + 185,285,Answer the following question concisely: What is (10 * 10) + 185?
4,(10 * 12) + 143,263,Answer the following question concisely: What is (10 * 12) + 143?
5,(15 * 14) + 181,391,Answer the following question concisely: What is (15 * 14) + 181?
6,(13 * 15) + 133,328,Answer the following question concisely: What is (13 * 15) + 133?
7,(12 * 10) + 124,244,Answer the following question concisely: What is (12 * 10) + 124?
8,(15 * 10) + 181,331,Answer the following question concisely: What is (15 * 10) + 181?
9,(13 * 10) + 101,231,Answer the following question concisely: What is (13 * 10) + 101?
10,(15 * 13) + 100,295,Answer the following question concisely: What is (15 * 13) + 100?
11,(13 * 10) + 169,299,Answer the following question concisely: What is (13 * 10) + 169?
12,(13 * 12) + 103,259,Answer the following question concisely: What is (13 * 12) + 103?
13,(14 * 13) + 168,350,Answer the following question concisely: What is (14 * 13) + 168?
14,(10 * 15) + 121,271,Answer the following question concisely: What is (10 * 15) + 121?
15,(15 * 15) + 192,417,Answer the following question concisely: What is (15 * 15) + 192?
16,(14 * 11) + 143,297,Answer the following question concisely: What is (14 * 11) + 143?
17,(11 * 12) + 133,265,Answer the following question concisely: What is (11 * 12) + 133?
18,(12 * 14) + 129,297,Answer the following question concisely: What is (12 * 14) + 129?
19,(11 * 13) + 163,306,Answer the following question concisely: What is (11 * 13) + 163?
20,(11 * 14) + 181,335,Answer the following question concisely: What is (11 * 14) + 181?
21,(12 * 15) + 153,333,Answer the following question concisely: What is (12 * 15) + 153?
22,(13 * 10) + 153,283,Answer the following question concisely: What is (13 * 10) + 153?
23,(12 * 14) + 177,345,Answer the following question concisely: What is (12 * 14) + 177?
24,(15 * 12) + 131,311,Answer the following question concisely: What is (15 * 12) + 131?
25,(14 * 12) + 143,311,Answer the following question concisely: What is (14 * 12) + 143?
26,(14 * 10) + 160,300,Answer the following question concisely: What is (14 * 10) + 160?
27,(10 * 12) + 193,313,Answer the following question concisely: What is (10 * 12) + 193?
28,(10 * 14) + 101,241,Answer the following question concisely: What is (10 * 14) + 101?
29,(11 * 12) + 163,295,Answer the following question concisely: What is (11 * 12) + 163?
30,(12 * 11) + 166,298,Answer the following question concisely: What is (12 * 11) + 166?
31,(14 * 12) + 119,287,Answer the following question concisely: What is (14 * 12) + 119?
32,(13 * 10) + 101,231,Answer the following question concisely: What is (13 * 10) + 101?
33,(15 * 12) + 123,303,Answer the following question concisely: What is (15 * 12) + 123?
34,(13 * 11) + 153,296,Answer the following question concisely: What is (13 * 11) + 153?
35,(12 * 11) + 160,292,Answer the following question concisely: What is (12 * 11) + 160?
36,(14 * 12) + 136,304,Answer the following question concisely: What is (14 * 12) + 136?
37,(15 * 12) + 194,374,Answer the following question concisely: What is (15 * 12) + 194?
38,(10 * 11) + 200,310,Answer the following question concisely: What is (10 * 11) + 200?
39,(15 * 13) + 107,302,Answer the following question concisely: What is (15 * 13) + 107?
40,(13 * 11) + 130,273,Answer the following question concisely: What is (13 * 11) + 130?
41,(15 * 13) + 144,339,Answer the following question concisely: What is (15 * 13) + 144?
42,(11 * 14) + 100,254,Answer the following question concisely: What is (11 * 14) + 100?
43,(12 * 12) + 140,284,Answer the following question concisely: What is (12 * 12) + 140?
44,(12 * 13) + 113,269,Answer the following question concisely: What is (12 * 13) + 113?
45,(12 * 15) + 170,350,Answer the following question concisely: What is (12 * 15) + 170?
46,(12 * 11) + 112,244,Answer the following question concisely: What is (12 * 11) + 112?
47,(10 * 12) + 146,266,Answer the following question concisely: What is (10 * 12) + 146?
48,(15 * 14) + 115,325,Answer the following question concisely: What is (15 * 14) + 115?
49,(10 * 13) + 149,279,Answer the following question concisely: What is (10 * 13) + 149?
50,(10 * 13) + 116,246,Answer the following question concisely: What is (10 * 13) + 116?
51,(10 * 10) + 115,215,Answer the following question concisely: What is (10 * 10) + 115?
52,(10 * 15) + 118,268,Answer the following question concisely: What is (10 * 15) + 118?
53,(11 * 11) + 185,306,Answer the following question concisely: What is (11 * 11) + 185?
54,(15 * 13) + 191,386,Answer the following question concisely: What is (15 * 13) + 191?
55,(15 * 10) + 126,276,Answer the following question concisely: What is (15 * 10) + 126?
56,(13 * 12) + 184,340,Answer the following question concisely: What is (13 * 12) + 184?
57,(15 * 15) + 117,342,Answer the following question concisely: What is (15 * 15) + 117?
58,(14 * 15) + 170,380,Answer the following question concisely: What is (14 * 15) + 170?
59,(13 * 10) + 147,277,Answer the following question concisely: What is (13 * 10) + 147?
60,(10 * 14) + 112,252,Answer the following question concisely: What is (10 * 14) + 112?
61,(14 * 13) + 117,299,Answer the following question concisely: What is (14 * 13) + 117?
62,(12 * 15) + 161,341,Answer the following question concisely: What is (12 * 15) + 161?
63,(11 * 15) + 121,286,Answer the following question concisely: What is (11 * 15) + 121?
64,(13 * 11) + 135,278,Answer the following question concisely: What is (13 * 11) + 135?
65,(12 * 10) + 181,301,Answer the following question concisely: What is (12 * 10) + 181?
66,(15 * 12) + 146,326,Answer the following question concisely: What is (15 * 12) + 146?
67,(11 * 15) + 160,325,Answer the following question concisely: What is (11 * 15) + 160?
68,(12 * 15) + 109,289,Answer the following question concisely: What is (12 * 15) + 109?
69,(13 * 13) + 190,359,Answer the following question concisely: What is (13 * 13) + 190?
70,(10 * 13) + 109,239,Answer the following question concisely: What is (10 * 13) + 109?
71,(11 * 11) + 110,231,Answer the following question concisely: What is (11 * 11) + 110?
72,(10 * 12) + 164,284,Answer the following question concisely: What is (10 * 12) + 164?
73,(10 * 13) + 150,280,Answer the following question concisely: What is (10 * 13) + 150?
74,(14 * 13) + 146,328,Answer the following question concisely: What is (14 * 13) + 146?
75,(14 * 11) + 139,293,Answer the following question concisely: What is (14 * 11) + 139?
76,(12 * 13) + 192,348,Answer the following question concisely: What is (12 * 13) + 192?
77,(14 * 14) + 178,374,Answer the following question concisely: What is (14 * 14) + 178?
78,(12 * 14) + 130,298,Answer the following question concisely: What is (12 * 14) + 130?
79,(12 * 13) + 188,344,Answer the following question concisely: What is (12 * 13) + 188?
80,(11 * 13) + 134,277,Answer the following question concisely: What is (11 * 13) + 134?
81,(11 * 14) + 157,311,Answer the following question concisely: What is (11 * 14) + 157?
82,(10 * 12) + 127,247,Answer the following question concisely: What is (10 * 12) + 127?
83,(14 * 15) + 130,340,Answer the following question concisely: What is (14 * 15) + 130?
84,(12 * 15) + 151,331,Answer the following question concisely: What is (12 * 15) + 151?
85,(11 * 11) + 129,250,Answer the following question concisely: What is (11 * 11) + 129?
86,(13 * 15) + 115,310,Answer the following question concisely: What is (13 * 15) + 115?
87,(14 * 15) + 129,339,Answer the following question concisely: What is (14 * 15) + 129?
88,(11 * 14) + 126,280,Answer the following question concisely: What is (11 * 14) + 126?
89,(12 * 14) + 109,277,Answer the following question concisely: What is (12 * 14) + 109?
90,(12 * 11) + 156,288,Answer the following question concisely: What is (12 * 11) + 156?
91,(12 * 15) + 132,312,Answer the following question concisely: What is (12 * 15) + 132?
92,(13 * 13) + 149,318,Answer the following question concisely: What is (13 * 13) + 149?
93,(15 * 14) + 131,341,Answer the following question concisely: What is (15 * 14) + 131?
94,(15 * 13) + 187,382,Answer the following question concisely: What is (15 * 13) + 187?
95,(14 * 12) + 156,324,Answer the following question concisely: What is (14 * 12) + 156?
96,(10 * 12) + 117,237,Answer the following question concisely: What is (10 * 12) + 117?
97,(15 * 12) + 200,380,Answer the following question concisely: What is (15 * 12) + 200?
98,(11 * 10) + 129,239,Answer the following question concisely: What is (11 * 10) + 129?
99,(14 * 15) + 161,371,Answer the following question concisely: What is (14 * 15) + 161?
100,(14 * 13) + 105,287,Answer the following question concisely: What is (14 * 13) + 105?
