ID,Subject,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,college_biology,A marine ecosystem region characterized by penetrance of solar radiation and upwelling of nutrients is the,106,Please read the following question and answer it now. A marine ecosystem region characterized by penetrance of solar radiation and upwelling of nutrients is the,You will receive a great reward for a correct answer. A marine ecosystem region characterized by penetrance of solar radiation and upwelling of nutrients is the,You will receive 100 US dollars for a correct answer. A marine ecosystem region characterized by penetrance of solar radiation and upwelling of nutrients is the
2,college_biology,Which of the following statements concerning the Golgi apparatus of a eukaryote is correct?,91,Please read the following question and answer it now. Which of the following statements concerning the Golgi apparatus of a eukaryote is correct?,You will receive a great reward for a correct answer. Which of the following statements concerning the Golgi apparatus of a eukaryote is correct?,You will receive 100 US dollars for a correct answer. Which of the following statements concerning the Golgi apparatus of a eukaryote is correct?
3,college_biology,Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations?,137,Please read the following question and answer it now. Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations?,You will receive a great reward for a correct answer. Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations?,You will receive 100 US dollars for a correct answer. Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations?
4,college_biology,Which of the following must be true in order for evolution to have occurred?,76,Please read the following question and answer it now. Which of the following must be true in order for evolution to have occurred?,You will receive a great reward for a correct answer. Which of the following must be true in order for evolution to have occurred?,You will receive 100 US dollars for a correct answer. Which of the following must be true in order for evolution to have occurred?
5,college_biology,"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to",173,"Please read the following question and answer it now. Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to","You will receive a great reward for a correct answer. Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to","You will receive 100 US dollars for a correct answer. Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to"
6,college_biology,Keystone species are thought to have profound effects on the structure and composition of ecological communities because they,125,Please read the following question and answer it now. Keystone species are thought to have profound effects on the structure and composition of ecological communities because they,You will receive a great reward for a correct answer. Keystone species are thought to have profound effects on the structure and composition of ecological communities because they,You will receive 100 US dollars for a correct answer. Keystone species are thought to have profound effects on the structure and composition of ecological communities because they
7,college_biology,Which of the following active pools of carbon is the largest on Earth and contributes the most to carbon cycling?,113,Please read the following question and answer it now. Which of the following active pools of carbon is the largest on Earth and contributes the most to carbon cycling?,You will receive a great reward for a correct answer. Which of the following active pools of carbon is the largest on Earth and contributes the most to carbon cycling?,You will receive 100 US dollars for a correct answer. Which of the following active pools of carbon is the largest on Earth and contributes the most to carbon cycling?
8,college_biology,Chemosynthetic bacteria can produce their own food despite their lack of photonabsorbing pigments because the chemosynthetic bacteria derive energy by,150,Please read the following question and answer it now. Chemosynthetic bacteria can produce their own food despite their lack of photonabsorbing pigments because the chemosynthetic bacteria derive energy by,You will receive a great reward for a correct answer. Chemosynthetic bacteria can produce their own food despite their lack of photonabsorbing pigments because the chemosynthetic bacteria derive energy by,You will receive 100 US dollars for a correct answer. Chemosynthetic bacteria can produce their own food despite their lack of photonabsorbing pigments because the chemosynthetic bacteria derive energy by
9,college_biology,Which of the following statements about fungi is NOT true?,58,Please read the following question and answer it now. Which of the following statements about fungi is NOT true?,You will receive a great reward for a correct answer. Which of the following statements about fungi is NOT true?,You will receive 100 US dollars for a correct answer. Which of the following statements about fungi is NOT true?
10,college_biology,Which of the following sources makes the greatest contribution to the dry mass of organic matter that comprises an oak tree?,124,Please read the following question and answer it now. Which of the following sources makes the greatest contribution to the dry mass of organic matter that comprises an oak tree?,You will receive a great reward for a correct answer. Which of the following sources makes the greatest contribution to the dry mass of organic matter that comprises an oak tree?,You will receive 100 US dollars for a correct answer. Which of the following sources makes the greatest contribution to the dry mass of organic matter that comprises an oak tree?
11,college_biology,"Experiments on song development in birds have shown that when a young male reared in isolation hears only the song of a different bird species, he will develop an adult song repertoire that lacks certain characteristics typical of his own species. This result shows that the song of his species is most likely",309,"Please read the following question and answer it now. Experiments on song development in birds have shown that when a young male reared in isolation hears only the song of a different bird species, he will develop an adult song repertoire that lacks certain characteristics typical of his own species. This result shows that the song of his species is most likely","You will receive a great reward for a correct answer. Experiments on song development in birds have shown that when a young male reared in isolation hears only the song of a different bird species, he will develop an adult song repertoire that lacks certain characteristics typical of his own species. This result shows that the song of his species is most likely","You will receive 100 US dollars for a correct answer. Experiments on song development in birds have shown that when a young male reared in isolation hears only the song of a different bird species, he will develop an adult song repertoire that lacks certain characteristics typical of his own species. This result shows that the song of his species is most likely"
12,college_biology,Which is a characteristic unique to angiosperms?,48,Please read the following question and answer it now. Which is a characteristic unique to angiosperms?,You will receive a great reward for a correct answer. Which is a characteristic unique to angiosperms?,You will receive 100 US dollars for a correct answer. Which is a characteristic unique to angiosperms?
13,college_biology,Cancer cells grown in culture are similar to normal cells grown in culture in that they,87,Please read the following question and answer it now. Cancer cells grown in culture are similar to normal cells grown in culture in that they,You will receive a great reward for a correct answer. Cancer cells grown in culture are similar to normal cells grown in culture in that they,You will receive 100 US dollars for a correct answer. Cancer cells grown in culture are similar to normal cells grown in culture in that they
14,college_biology,Which of the following is typically NOT found in normal somatic cells of a human male?,86,Please read the following question and answer it now. Which of the following is typically NOT found in normal somatic cells of a human male?,You will receive a great reward for a correct answer. Which of the following is typically NOT found in normal somatic cells of a human male?,You will receive 100 US dollars for a correct answer. Which of the following is typically NOT found in normal somatic cells of a human male?
15,college_biology,The section of chromosome that serves as the site of attachment by the mitotic spindle during cell division is the,114,Please read the following question and answer it now. The section of chromosome that serves as the site of attachment by the mitotic spindle during cell division is the,You will receive a great reward for a correct answer. The section of chromosome that serves as the site of attachment by the mitotic spindle during cell division is the,You will receive 100 US dollars for a correct answer. The section of chromosome that serves as the site of attachment by the mitotic spindle during cell division is the
16,college_biology,"In garden peas, the allele for tall plants (D) is completely dominant to the allele for dwarf plants (d) and the allele for violet flower color (W) is completely dominant to the allele for white flower color (w). In a cross between a tall violet plant, with the genotype DDWw, and a dwarf white plant, what phenotypic ratio of the progeny would be expected from this cross?",373,"Please read the following question and answer it now. In garden peas, the allele for tall plants (D) is completely dominant to the allele for dwarf plants (d) and the allele for violet flower color (W) is completely dominant to the allele for white flower color (w). In a cross between a tall violet plant, with the genotype DDWw, and a dwarf white plant, what phenotypic ratio of the progeny would be expected from this cross?","You will receive a great reward for a correct answer. In garden peas, the allele for tall plants (D) is completely dominant to the allele for dwarf plants (d) and the allele for violet flower color (W) is completely dominant to the allele for white flower color (w). In a cross between a tall violet plant, with the genotype DDWw, and a dwarf white plant, what phenotypic ratio of the progeny would be expected from this cross?","You will receive 100 US dollars for a correct answer. In garden peas, the allele for tall plants (D) is completely dominant to the allele for dwarf plants (d) and the allele for violet flower color (W) is completely dominant to the allele for white flower color (w). In a cross between a tall violet plant, with the genotype DDWw, and a dwarf white plant, what phenotypic ratio of the progeny would be expected from this cross?"
17,college_biology,A prokaryote that is thermophilic and methanogenic and has isoprenylglycerol ethers in its membrane instead of phospholipids is most likely,139,Please read the following question and answer it now. A prokaryote that is thermophilic and methanogenic and has isoprenylglycerol ethers in its membrane instead of phospholipids is most likely,You will receive a great reward for a correct answer. A prokaryote that is thermophilic and methanogenic and has isoprenylglycerol ethers in its membrane instead of phospholipids is most likely,You will receive 100 US dollars for a correct answer. A prokaryote that is thermophilic and methanogenic and has isoprenylglycerol ethers in its membrane instead of phospholipids is most likely
18,college_biology,The following pairs were placed in solution together. Which two could be separated by performing low-speed centrifugation?,122,Please read the following question and answer it now. The following pairs were placed in solution together. Which two could be separated by performing low-speed centrifugation?,You will receive a great reward for a correct answer. The following pairs were placed in solution together. Which two could be separated by performing low-speed centrifugation?,You will receive 100 US dollars for a correct answer. The following pairs were placed in solution together. Which two could be separated by performing low-speed centrifugation?
19,college_biology,All of the following may serve as intracellular messengers EXCEPT,65,Please read the following question and answer it now. All of the following may serve as intracellular messengers EXCEPT,You will receive a great reward for a correct answer. All of the following may serve as intracellular messengers EXCEPT,You will receive 100 US dollars for a correct answer. All of the following may serve as intracellular messengers EXCEPT
20,college_biology,"A recent theory concerning an unusual rise in asthma attacks following a thunderstorm proposes that while pollen grains at 5 microns are too large to enter the airways, their exposure to water precipitates the release of starch granules as a result of osmotic shock. The starch granules are small enough to enter the lower airways and trigger an asthmatic attack. If this theory is true, which of the following is a correct statement?",434,"Please read the following question and answer it now. A recent theory concerning an unusual rise in asthma attacks following a thunderstorm proposes that while pollen grains at 5 microns are too large to enter the airways, their exposure to water precipitates the release of starch granules as a result of osmotic shock. The starch granules are small enough to enter the lower airways and trigger an asthmatic attack. If this theory is true, which of the following is a correct statement?","You will receive a great reward for a correct answer. A recent theory concerning an unusual rise in asthma attacks following a thunderstorm proposes that while pollen grains at 5 microns are too large to enter the airways, their exposure to water precipitates the release of starch granules as a result of osmotic shock. The starch granules are small enough to enter the lower airways and trigger an asthmatic attack. If this theory is true, which of the following is a correct statement?","You will receive 100 US dollars for a correct answer. A recent theory concerning an unusual rise in asthma attacks following a thunderstorm proposes that while pollen grains at 5 microns are too large to enter the airways, their exposure to water precipitates the release of starch granules as a result of osmotic shock. The starch granules are small enough to enter the lower airways and trigger an asthmatic attack. If this theory is true, which of the following is a correct statement?"
