ID,Subject,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,human_aging,Surveys of bereaved individuals have found that one of the things that is reported as being most helpful is when others,119,Please read the following question and answer it now. Surveys of bereaved individuals have found that one of the things that is reported as being most helpful is when others,You will receive a great reward for a correct answer. Surveys of bereaved individuals have found that one of the things that is reported as being most helpful is when others,You will receive 100 US dollars for a correct answer. Surveys of bereaved individuals have found that one of the things that is reported as being most helpful is when others
2,human_aging,Loss of stomach lining can lead to symptoms that resemble,57,Please read the following question and answer it now. Loss of stomach lining can lead to symptoms that resemble,You will receive a great reward for a correct answer. Loss of stomach lining can lead to symptoms that resemble,You will receive 100 US dollars for a correct answer. Loss of stomach lining can lead to symptoms that resemble
3,human_aging,"Mabel Davis, in this chapter's Senior View, would agree with which of the following?",84,"Please read the following question and answer it now. Mabel Davis, in this chapter's Senior View, would agree with which of the following?","You will receive a great reward for a correct answer. Mabel Davis, in this chapter's Senior View, would agree with which of the following?","You will receive 100 US dollars for a correct answer. Mabel Davis, in this chapter's Senior View, would agree with which of the following?"
4,human_aging,"When older and younger workers have lost their jobs, older workers typically",76,"Please read the following question and answer it now. When older and younger workers have lost their jobs, older workers typically","You will receive a great reward for a correct answer. When older and younger workers have lost their jobs, older workers typically","You will receive 100 US dollars for a correct answer. When older and younger workers have lost their jobs, older workers typically"
5,human_aging,Grandparents with grandchildren in college report feeling especially loved when such grandchildren,98,Please read the following question and answer it now. Grandparents with grandchildren in college report feeling especially loved when such grandchildren,You will receive a great reward for a correct answer. Grandparents with grandchildren in college report feeling especially loved when such grandchildren,You will receive 100 US dollars for a correct answer. Grandparents with grandchildren in college report feeling especially loved when such grandchildren
6,human_aging,The initials ADL stand for,26,Please read the following question and answer it now. The initials ADL stand for,You will receive a great reward for a correct answer. The initials ADL stand for,You will receive 100 US dollars for a correct answer. The initials ADL stand for
7,human_aging,Which leg of the three-legged stool do most retirees have,57,Please read the following question and answer it now. Which leg of the three-legged stool do most retirees have,You will receive a great reward for a correct answer. Which leg of the three-legged stool do most retirees have,You will receive 100 US dollars for a correct answer. Which leg of the three-legged stool do most retirees have
8,human_aging,The model of social support that says that those who are close to you now are likely to be close for the rest of your days is called the ____ model,147,Please read the following question and answer it now. The model of social support that says that those who are close to you now are likely to be close for the rest of your days is called the ____ model,You will receive a great reward for a correct answer. The model of social support that says that those who are close to you now are likely to be close for the rest of your days is called the ____ model,You will receive 100 US dollars for a correct answer. The model of social support that says that those who are close to you now are likely to be close for the rest of your days is called the ____ model
9,human_aging,"With respect to theories of senescence, it's probably safe to say that",70,"Please read the following question and answer it now. With respect to theories of senescence, it's probably safe to say that","You will receive a great reward for a correct answer. With respect to theories of senescence, it's probably safe to say that","You will receive 100 US dollars for a correct answer. With respect to theories of senescence, it's probably safe to say that"
10,human_aging,"Of the following types of memory, which shows the biggest deficit with advanced age?",84,"Please read the following question and answer it now. Of the following types of memory, which shows the biggest deficit with advanced age?","You will receive a great reward for a correct answer. Of the following types of memory, which shows the biggest deficit with advanced age?","You will receive 100 US dollars for a correct answer. Of the following types of memory, which shows the biggest deficit with advanced age?"
