ID,Subject,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,logical_fallacies,"All things that are spoiled are inedible. Timothy is spoiled. So, Timothy is inedible.",86,"Please read the following question and answer it now. All things that are spoiled are inedible. Timothy is spoiled. So, Timothy is inedible.","You will receive a great reward for a correct answer. All things that are spoiled are inedible. Timothy is spoiled. So, Timothy is inedible.","You will receive 100 US dollars for a correct answer. All things that are spoiled are inedible. Timothy is spoiled. So, Timothy is inedible."
2,logical_fallacies,"I don't know what the answer is to number 8. But Heather hasn't made the third option into the correct answer for a while, and even then only once, so I'm guessing that this is the fallacy of Composition!",204,"Please read the following question and answer it now. I don't know what the answer is to number 8. But Heather hasn't made the third option into the correct answer for a while, and even then only once, so I'm guessing that this is the fallacy of Composition!","You will receive a great reward for a correct answer. I don't know what the answer is to number 8. But Heather hasn't made the third option into the correct answer for a while, and even then only once, so I'm guessing that this is the fallacy of Composition!","You will receive 100 US dollars for a correct answer. I don't know what the answer is to number 8. But Heather hasn't made the third option into the correct answer for a while, and even then only once, so I'm guessing that this is the fallacy of Composition!"
3,logical_fallacies,When someone treats an imaginary concept as if it was something tangible that person might commit the fallacy of,112,Please read the following question and answer it now. When someone treats an imaginary concept as if it was something tangible that person might commit the fallacy of,You will receive a great reward for a correct answer. When someone treats an imaginary concept as if it was something tangible that person might commit the fallacy of,You will receive 100 US dollars for a correct answer. When someone treats an imaginary concept as if it was something tangible that person might commit the fallacy of
4,logical_fallacies,"At the end of the course, Professor Jones told us that we were the best class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as good a class as Professor Jones said we were, none of us deserved to fail.",270,"Please read the following question and answer it now. At the end of the course, Professor Jones told us that we were the best class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as good a class as Professor Jones said we were, none of us deserved to fail.","You will receive a great reward for a correct answer. At the end of the course, Professor Jones told us that we were the best class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as good a class as Professor Jones said we were, none of us deserved to fail.","You will receive 100 US dollars for a correct answer. At the end of the course, Professor Jones told us that we were the best class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as good a class as Professor Jones said we were, none of us deserved to fail."
5,logical_fallacies,The argument against the person consists of,43,Please read the following question and answer it now. The argument against the person consists of,You will receive a great reward for a correct answer. The argument against the person consists of,You will receive 100 US dollars for a correct answer. The argument against the person consists of
6,logical_fallacies,Men are better drivers than women are. The proof of this is that men are more capable than women of managing cars on the road.,126,Please read the following question and answer it now. Men are better drivers than women are. The proof of this is that men are more capable than women of managing cars on the road.,You will receive a great reward for a correct answer. Men are better drivers than women are. The proof of this is that men are more capable than women of managing cars on the road.,You will receive 100 US dollars for a correct answer. Men are better drivers than women are. The proof of this is that men are more capable than women of managing cars on the road.
7,logical_fallacies,"Which of the following fallacies happens when someone argues that a choice must be made among a certain set of alternatives, when there are really other alternatives to choose from?",181,"Please read the following question and answer it now. Which of the following fallacies happens when someone argues that a choice must be made among a certain set of alternatives, when there are really other alternatives to choose from?","You will receive a great reward for a correct answer. Which of the following fallacies happens when someone argues that a choice must be made among a certain set of alternatives, when there are really other alternatives to choose from?","You will receive 100 US dollars for a correct answer. Which of the following fallacies happens when someone argues that a choice must be made among a certain set of alternatives, when there are really other alternatives to choose from?"
8,logical_fallacies,Applying irrelevant standards to the subject of the argument is the fallacy of,78,Please read the following question and answer it now. Applying irrelevant standards to the subject of the argument is the fallacy of,You will receive a great reward for a correct answer. Applying irrelevant standards to the subject of the argument is the fallacy of,You will receive 100 US dollars for a correct answer. Applying irrelevant standards to the subject of the argument is the fallacy of
9,logical_fallacies,"John S. Knight, Detroit Free Press (3 July 1970): ...Capitalism is the economic system in which the means of production and distribution are privately owned and operated for profit. The alternative system is called socialism, the theory of the ownership and operation of the means of production by society, with all members sharing in the work and the products.",361,"Please read the following question and answer it now. John S. Knight, Detroit Free Press (3 July 1970): ...Capitalism is the economic system in which the means of production and distribution are privately owned and operated for profit. The alternative system is called socialism, the theory of the ownership and operation of the means of production by society, with all members sharing in the work and the products.","You will receive a great reward for a correct answer. John S. Knight, Detroit Free Press (3 July 1970): ...Capitalism is the economic system in which the means of production and distribution are privately owned and operated for profit. The alternative system is called socialism, the theory of the ownership and operation of the means of production by society, with all members sharing in the work and the products.","You will receive 100 US dollars for a correct answer. John S. Knight, Detroit Free Press (3 July 1970): ...Capitalism is the economic system in which the means of production and distribution are privately owned and operated for profit. The alternative system is called socialism, the theory of the ownership and operation of the means of production by society, with all members sharing in the work and the products."
10,logical_fallacies,"The universe, like a watch, must have a maker.",46,"Please read the following question and answer it now. The universe, like a watch, must have a maker.","You will receive a great reward for a correct answer. The universe, like a watch, must have a maker.","You will receive 100 US dollars for a correct answer. The universe, like a watch, must have a maker."
