ID,Subject,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,medical_genetics,Which of the following would result in Angelman syndrome?,57,Please read the following question and answer it now. Which of the following would result in Angelman syndrome?,You will receive a great reward for a correct answer. Which of the following would result in Angelman syndrome?,You will receive 100 US dollars for a correct answer. Which of the following would result in Angelman syndrome?
2,medical_genetics,Which of the following disorders does not show X-linked inheritance?,68,Please read the following question and answer it now. Which of the following disorders does not show X-linked inheritance?,You will receive a great reward for a correct answer. Which of the following disorders does not show X-linked inheritance?,You will receive 100 US dollars for a correct answer. Which of the following disorders does not show X-linked inheritance?
3,medical_genetics,The mutational mechanism in δβ-thalassaemia consists of:,56,Please read the following question and answer it now. The mutational mechanism in δβ-thalassaemia consists of:,You will receive a great reward for a correct answer. The mutational mechanism in δβ-thalassaemia consists of:,You will receive 100 US dollars for a correct answer. The mutational mechanism in δβ-thalassaemia consists of:
4,medical_genetics,Plasmid vectors for cloning,27,Please read the following question and answer it now. Plasmid vectors for cloning,You will receive a great reward for a correct answer. Plasmid vectors for cloning,You will receive 100 US dollars for a correct answer. Plasmid vectors for cloning
5,medical_genetics,"The likelihood of an individual in a population carrying two specific alleles of a human DNA marker, each of which has a frequency of 0.2, will be:",147,"Please read the following question and answer it now. The likelihood of an individual in a population carrying two specific alleles of a human DNA marker, each of which has a frequency of 0.2, will be:","You will receive a great reward for a correct answer. The likelihood of an individual in a population carrying two specific alleles of a human DNA marker, each of which has a frequency of 0.2, will be:","You will receive 100 US dollars for a correct answer. The likelihood of an individual in a population carrying two specific alleles of a human DNA marker, each of which has a frequency of 0.2, will be:"
6,medical_genetics,Asp235Phe in a molecular report indicates that:,47,Please read the following question and answer it now. Asp235Phe in a molecular report indicates that:,You will receive a great reward for a correct answer. Asp235Phe in a molecular report indicates that:,You will receive 100 US dollars for a correct answer. Asp235Phe in a molecular report indicates that:
7,medical_genetics,With which of the following relatives is an individual most likely to share a common HLA haplotype?,99,Please read the following question and answer it now. With which of the following relatives is an individual most likely to share a common HLA haplotype?,You will receive a great reward for a correct answer. With which of the following relatives is an individual most likely to share a common HLA haplotype?,You will receive 100 US dollars for a correct answer. With which of the following relatives is an individual most likely to share a common HLA haplotype?
8,medical_genetics,Consanguinity shows a strong association with which pattern of inheritance?,75,Please read the following question and answer it now. Consanguinity shows a strong association with which pattern of inheritance?,You will receive a great reward for a correct answer. Consanguinity shows a strong association with which pattern of inheritance?,You will receive 100 US dollars for a correct answer. Consanguinity shows a strong association with which pattern of inheritance?
9,medical_genetics,______ explained genetic disorders such as alkaptonuria and albinism.,69,Please read the following question and answer it now. ______ explained genetic disorders such as alkaptonuria and albinism.,You will receive a great reward for a correct answer. ______ explained genetic disorders such as alkaptonuria and albinism.,You will receive 100 US dollars for a correct answer. ______ explained genetic disorders such as alkaptonuria and albinism.
10,medical_genetics,Normal adult haemoglobin (Hb A) consists of:,44,Please read the following question and answer it now. Normal adult haemoglobin (Hb A) consists of:,You will receive a great reward for a correct answer. Normal adult haemoglobin (Hb A) consists of:,You will receive 100 US dollars for a correct answer. Normal adult haemoglobin (Hb A) consists of:
11,medical_genetics,Mapping of human chromosomes:,29,Please read the following question and answer it now. Mapping of human chromosomes:,You will receive a great reward for a correct answer. Mapping of human chromosomes:,You will receive 100 US dollars for a correct answer. Mapping of human chromosomes:
12,medical_genetics,If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.,149,Please read the following question and answer it now. If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.,You will receive a great reward for a correct answer. If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.,You will receive 100 US dollars for a correct answer. If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.
13,medical_genetics,Which of the following disorders is not suitable for population carrier screening?,82,Please read the following question and answer it now. Which of the following disorders is not suitable for population carrier screening?,You will receive a great reward for a correct answer. Which of the following disorders is not suitable for population carrier screening?,You will receive 100 US dollars for a correct answer. Which of the following disorders is not suitable for population carrier screening?
14,medical_genetics,Positional cloning refers to,28,Please read the following question and answer it now. Positional cloning refers to,You will receive a great reward for a correct answer. Positional cloning refers to,You will receive 100 US dollars for a correct answer. Positional cloning refers to
15,medical_genetics,Arabidopsis is advantageous for plant genetic research because:,63,Please read the following question and answer it now. Arabidopsis is advantageous for plant genetic research because:,You will receive a great reward for a correct answer. Arabidopsis is advantageous for plant genetic research because:,You will receive 100 US dollars for a correct answer. Arabidopsis is advantageous for plant genetic research because:
16,medical_genetics,"Regarding exons, which, if any, of the following statements is correct?",71,"Please read the following question and answer it now. Regarding exons, which, if any, of the following statements is correct?","You will receive a great reward for a correct answer. Regarding exons, which, if any, of the following statements is correct?","You will receive 100 US dollars for a correct answer. Regarding exons, which, if any, of the following statements is correct?"
17,medical_genetics,Which of the following is not a chromosome instability syndrome?,64,Please read the following question and answer it now. Which of the following is not a chromosome instability syndrome?,You will receive a great reward for a correct answer. Which of the following is not a chromosome instability syndrome?,You will receive 100 US dollars for a correct answer. Which of the following is not a chromosome instability syndrome?
18,medical_genetics,Advantages of using adenoviruses for gene therapy include:,58,Please read the following question and answer it now. Advantages of using adenoviruses for gene therapy include:,You will receive a great reward for a correct answer. Advantages of using adenoviruses for gene therapy include:,You will receive 100 US dollars for a correct answer. Advantages of using adenoviruses for gene therapy include:
19,medical_genetics,In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,137,Please read the following question and answer it now. In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,You will receive a great reward for a correct answer. In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,You will receive 100 US dollars for a correct answer. In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?
20,medical_genetics,Male to male transmission is a key feature of which pattern of inheritance?,75,Please read the following question and answer it now. Male to male transmission is a key feature of which pattern of inheritance?,You will receive a great reward for a correct answer. Male to male transmission is a key feature of which pattern of inheritance?,You will receive 100 US dollars for a correct answer. Male to male transmission is a key feature of which pattern of inheritance?
21,medical_genetics,It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,123,Please read the following question and answer it now. It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,You will receive a great reward for a correct answer. It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,You will receive 100 US dollars for a correct answer. It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.
22,medical_genetics,Which of the following is a feature of X-linked dominant inheritance?,69,Please read the following question and answer it now. Which of the following is a feature of X-linked dominant inheritance?,You will receive a great reward for a correct answer. Which of the following is a feature of X-linked dominant inheritance?,You will receive 100 US dollars for a correct answer. Which of the following is a feature of X-linked dominant inheritance?
23,medical_genetics,Exon skipping is associated with:,33,Please read the following question and answer it now. Exon skipping is associated with:,You will receive a great reward for a correct answer. Exon skipping is associated with:,You will receive 100 US dollars for a correct answer. Exon skipping is associated with:
24,medical_genetics,Which of the following statements about Hirschsprung disease is incorrect?,74,Please read the following question and answer it now. Which of the following statements about Hirschsprung disease is incorrect?,You will receive a great reward for a correct answer. Which of the following statements about Hirschsprung disease is incorrect?,You will receive 100 US dollars for a correct answer. Which of the following statements about Hirschsprung disease is incorrect?
