ID,Subject,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,high_school_psychology,Which of the following best summarizes why people tend to stay in a slightly elevated state of arousal after a crisis has occurred?,131,Please read the following question and answer it now. Which of the following best summarizes why people tend to stay in a slightly elevated state of arousal after a crisis has occurred?,You will receive a great reward for a correct answer. Which of the following best summarizes why people tend to stay in a slightly elevated state of arousal after a crisis has occurred?,You will receive 100 US dollars for a correct answer. Which of the following best summarizes why people tend to stay in a slightly elevated state of arousal after a crisis has occurred?
2,high_school_psychology,Information from the optic nerve is initially processed in what part of the brain?,82,Please read the following question and answer it now. Information from the optic nerve is initially processed in what part of the brain?,You will receive a great reward for a correct answer. Information from the optic nerve is initially processed in what part of the brain?,You will receive 100 US dollars for a correct answer. Information from the optic nerve is initially processed in what part of the brain?
3,high_school_psychology,"When Antoinette comes home to her apartment, people suddenly jump out towards her. Her heart begins to race and she shrieks. Once she recognizes that it is her friends throwing a surprise party, rather than ninjas, her heart continues to race, but she experiences happiness. Which theory of emotions best explains this fact?",324,"Please read the following question and answer it now. When Antoinette comes home to her apartment, people suddenly jump out towards her. Her heart begins to race and she shrieks. Once she recognizes that it is her friends throwing a surprise party, rather than ninjas, her heart continues to race, but she experiences happiness. Which theory of emotions best explains this fact?","You will receive a great reward for a correct answer. When Antoinette comes home to her apartment, people suddenly jump out towards her. Her heart begins to race and she shrieks. Once she recognizes that it is her friends throwing a surprise party, rather than ninjas, her heart continues to race, but she experiences happiness. Which theory of emotions best explains this fact?","You will receive 100 US dollars for a correct answer. When Antoinette comes home to her apartment, people suddenly jump out towards her. Her heart begins to race and she shrieks. Once she recognizes that it is her friends throwing a surprise party, rather than ninjas, her heart continues to race, but she experiences happiness. Which theory of emotions best explains this fact?"
4,high_school_psychology,"Eli is just beginning to sit up. Assuming he is developing at a typical pace, how old is Eli?",93,"Please read the following question and answer it now. Eli is just beginning to sit up. Assuming he is developing at a typical pace, how old is Eli?","You will receive a great reward for a correct answer. Eli is just beginning to sit up. Assuming he is developing at a typical pace, how old is Eli?","You will receive 100 US dollars for a correct answer. Eli is just beginning to sit up. Assuming he is developing at a typical pace, how old is Eli?"
5,high_school_psychology,"You are given four lists of words to learn: 1, 2, 3, and 4. You must learn list 1, then list 2, etc. Which list(s) would cause proactive interference for remembering list 2?",173,"Please read the following question and answer it now. You are given four lists of words to learn: 1, 2, 3, and 4. You must learn list 1, then list 2, etc. Which list(s) would cause proactive interference for remembering list 2?","You will receive a great reward for a correct answer. You are given four lists of words to learn: 1, 2, 3, and 4. You must learn list 1, then list 2, etc. Which list(s) would cause proactive interference for remembering list 2?","You will receive 100 US dollars for a correct answer. You are given four lists of words to learn: 1, 2, 3, and 4. You must learn list 1, then list 2, etc. Which list(s) would cause proactive interference for remembering list 2?"
6,high_school_psychology,"In developmental research, studying the same subjects over time is known as",75,"Please read the following question and answer it now. In developmental research, studying the same subjects over time is known as","You will receive a great reward for a correct answer. In developmental research, studying the same subjects over time is known as","You will receive 100 US dollars for a correct answer. In developmental research, studying the same subjects over time is known as"
7,high_school_psychology,"When a 17-year-old student is failing at school, which society would most likely hold the parents accountable?",110,"Please read the following question and answer it now. When a 17-year-old student is failing at school, which society would most likely hold the parents accountable?","You will receive a great reward for a correct answer. When a 17-year-old student is failing at school, which society would most likely hold the parents accountable?","You will receive 100 US dollars for a correct answer. When a 17-year-old student is failing at school, which society would most likely hold the parents accountable?"
8,high_school_psychology,Albert Bandura's work evidenced that children who witnessed aggressive behavior on the part of adults would be likely to imitate the aggressive behavior later on. This phenomenon is known as,190,Please read the following question and answer it now. Albert Bandura's work evidenced that children who witnessed aggressive behavior on the part of adults would be likely to imitate the aggressive behavior later on. This phenomenon is known as,You will receive a great reward for a correct answer. Albert Bandura's work evidenced that children who witnessed aggressive behavior on the part of adults would be likely to imitate the aggressive behavior later on. This phenomenon is known as,You will receive 100 US dollars for a correct answer. Albert Bandura's work evidenced that children who witnessed aggressive behavior on the part of adults would be likely to imitate the aggressive behavior later on. This phenomenon is known as
9,high_school_psychology,Which of the following types of scientists were the first to contend that an individual's ways of thinking are shaped primarily by cultural values and ideas?,157,Please read the following question and answer it now. Which of the following types of scientists were the first to contend that an individual's ways of thinking are shaped primarily by cultural values and ideas?,You will receive a great reward for a correct answer. Which of the following types of scientists were the first to contend that an individual's ways of thinking are shaped primarily by cultural values and ideas?,You will receive 100 US dollars for a correct answer. Which of the following types of scientists were the first to contend that an individual's ways of thinking are shaped primarily by cultural values and ideas?
10,high_school_psychology,Light enters the eye through an opening in the,46,Please read the following question and answer it now. Light enters the eye through an opening in the,You will receive a great reward for a correct answer. Light enters the eye through an opening in the,You will receive 100 US dollars for a correct answer. Light enters the eye through an opening in the
11,high_school_psychology,Milgram's obedience study was criticized based on what ethical grounds?,71,Please read the following question and answer it now. Milgram's obedience study was criticized based on what ethical grounds?,You will receive a great reward for a correct answer. Milgram's obedience study was criticized based on what ethical grounds?,You will receive 100 US dollars for a correct answer. Milgram's obedience study was criticized based on what ethical grounds?
12,high_school_psychology,The medical model of psychologically disordered behavior is most likely to be criticized for neglecting the importance of,121,Please read the following question and answer it now. The medical model of psychologically disordered behavior is most likely to be criticized for neglecting the importance of,You will receive a great reward for a correct answer. The medical model of psychologically disordered behavior is most likely to be criticized for neglecting the importance of,You will receive 100 US dollars for a correct answer. The medical model of psychologically disordered behavior is most likely to be criticized for neglecting the importance of
13,high_school_psychology,Which of the following transduces visual images?,48,Please read the following question and answer it now. Which of the following transduces visual images?,You will receive a great reward for a correct answer. Which of the following transduces visual images?,You will receive 100 US dollars for a correct answer. Which of the following transduces visual images?
14,high_school_psychology,"Tony got accepted to the college he wants to attend, is going to the prom with a girl he really admires, and was hired for the summer job he sought. He has high",160,"Please read the following question and answer it now. Tony got accepted to the college he wants to attend, is going to the prom with a girl he really admires, and was hired for the summer job he sought. He has high","You will receive a great reward for a correct answer. Tony got accepted to the college he wants to attend, is going to the prom with a girl he really admires, and was hired for the summer job he sought. He has high","You will receive 100 US dollars for a correct answer. Tony got accepted to the college he wants to attend, is going to the prom with a girl he really admires, and was hired for the summer job he sought. He has high"
15,high_school_psychology,Children who suffer brain damage may be able to regain their physical and mental abilities more quickly than older brain damage patients due to which of the following properties of the brain?,191,Please read the following question and answer it now. Children who suffer brain damage may be able to regain their physical and mental abilities more quickly than older brain damage patients due to which of the following properties of the brain?,You will receive a great reward for a correct answer. Children who suffer brain damage may be able to regain their physical and mental abilities more quickly than older brain damage patients due to which of the following properties of the brain?,You will receive 100 US dollars for a correct answer. Children who suffer brain damage may be able to regain their physical and mental abilities more quickly than older brain damage patients due to which of the following properties of the brain?
