ID,Subject,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,high_school_biology,"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT",149,"Please read the following question and answer it now. During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT","You will receive a great reward for a correct answer. During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT","You will receive 100 US dollars for a correct answer. During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT"
2,high_school_biology,"Which group is composed entirely of individuals who maintained that species are fixed (i.e., unchanging)?",105,"Please read the following question and answer it now. Which group is composed entirely of individuals who maintained that species are fixed (i.e., unchanging)?","You will receive a great reward for a correct answer. Which group is composed entirely of individuals who maintained that species are fixed (i.e., unchanging)?","You will receive 100 US dollars for a correct answer. Which group is composed entirely of individuals who maintained that species are fixed (i.e., unchanging)?"
3,high_school_biology,Which of the following statements about post-transcriptional modification are incorrect?,88,Please read the following question and answer it now. Which of the following statements about post-transcriptional modification are incorrect?,You will receive a great reward for a correct answer. Which of the following statements about post-transcriptional modification are incorrect?,You will receive 100 US dollars for a correct answer. Which of the following statements about post-transcriptional modification are incorrect?
4,high_school_biology,"An organism exposed to wild temperature fluctuations shows very little, if any, change in its metabolic rate. This organism is most probably a",142,"Please read the following question and answer it now. An organism exposed to wild temperature fluctuations shows very little, if any, change in its metabolic rate. This organism is most probably a","You will receive a great reward for a correct answer. An organism exposed to wild temperature fluctuations shows very little, if any, change in its metabolic rate. This organism is most probably a","You will receive 100 US dollars for a correct answer. An organism exposed to wild temperature fluctuations shows very little, if any, change in its metabolic rate. This organism is most probably a"
5,high_school_biology,"No two people are genetically identical, except for identical twins. The chief cause of genetic variation among human individuals is",132,"Please read the following question and answer it now. No two people are genetically identical, except for identical twins. The chief cause of genetic variation among human individuals is","You will receive a great reward for a correct answer. No two people are genetically identical, except for identical twins. The chief cause of genetic variation among human individuals is","You will receive 100 US dollars for a correct answer. No two people are genetically identical, except for identical twins. The chief cause of genetic variation among human individuals is"
6,high_school_biology,Fossil evidence indicates that horses have gradually increased in size over geologic time. Which of the following terms best describes this?,140,Please read the following question and answer it now. Fossil evidence indicates that horses have gradually increased in size over geologic time. Which of the following terms best describes this?,You will receive a great reward for a correct answer. Fossil evidence indicates that horses have gradually increased in size over geologic time. Which of the following terms best describes this?,You will receive 100 US dollars for a correct answer. Fossil evidence indicates that horses have gradually increased in size over geologic time. Which of the following terms best describes this?
7,high_school_biology,Which of the following best explains why drinking breast milk is beneficial to a human infant?,94,Please read the following question and answer it now. Which of the following best explains why drinking breast milk is beneficial to a human infant?,You will receive a great reward for a correct answer. Which of the following best explains why drinking breast milk is beneficial to a human infant?,You will receive 100 US dollars for a correct answer. Which of the following best explains why drinking breast milk is beneficial to a human infant?
8,high_school_biology,A lizard lacking a chemical defense mechanism that is colored in the same way as a lizard that has a defense mechanism is displaying,132,Please read the following question and answer it now. A lizard lacking a chemical defense mechanism that is colored in the same way as a lizard that has a defense mechanism is displaying,You will receive a great reward for a correct answer. A lizard lacking a chemical defense mechanism that is colored in the same way as a lizard that has a defense mechanism is displaying,You will receive 100 US dollars for a correct answer. A lizard lacking a chemical defense mechanism that is colored in the same way as a lizard that has a defense mechanism is displaying
9,high_school_biology,Crossover would most likely occur in which situation?,53,Please read the following question and answer it now. Crossover would most likely occur in which situation?,You will receive a great reward for a correct answer. Crossover would most likely occur in which situation?,You will receive 100 US dollars for a correct answer. Crossover would most likely occur in which situation?
10,high_school_biology,A piece of potato is dropped into a beaker of pure water. Which of the following describes the activity after the potato is immersed into the water?,148,Please read the following question and answer it now. A piece of potato is dropped into a beaker of pure water. Which of the following describes the activity after the potato is immersed into the water?,You will receive a great reward for a correct answer. A piece of potato is dropped into a beaker of pure water. Which of the following describes the activity after the potato is immersed into the water?,You will receive 100 US dollars for a correct answer. A piece of potato is dropped into a beaker of pure water. Which of the following describes the activity after the potato is immersed into the water?
11,high_school_biology,"A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. Which of the following could possibly characterize the new variant?",394,"Please read the following question and answer it now. A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. Which of the following could possibly characterize the new variant?","You will receive a great reward for a correct answer. A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. Which of the following could possibly characterize the new variant?","You will receive 100 US dollars for a correct answer. A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. Which of the following could possibly characterize the new variant?"
12,high_school_biology,"A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. What kind of speciation does this example illustrate?",380,"Please read the following question and answer it now. A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. What kind of speciation does this example illustrate?","You will receive a great reward for a correct answer. A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. What kind of speciation does this example illustrate?","You will receive 100 US dollars for a correct answer. A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. What kind of speciation does this example illustrate?"
13,high_school_biology,Which of the following is most likely to increase the rate of diffusion of an uncharged solute across the plasma membrane of a cell?,132,Please read the following question and answer it now. Which of the following is most likely to increase the rate of diffusion of an uncharged solute across the plasma membrane of a cell?,You will receive a great reward for a correct answer. Which of the following is most likely to increase the rate of diffusion of an uncharged solute across the plasma membrane of a cell?,You will receive 100 US dollars for a correct answer. Which of the following is most likely to increase the rate of diffusion of an uncharged solute across the plasma membrane of a cell?
14,high_school_biology,All of the following play a role in morphogenesis EXCEPT,56,Please read the following question and answer it now. All of the following play a role in morphogenesis EXCEPT,You will receive a great reward for a correct answer. All of the following play a role in morphogenesis EXCEPT,You will receive 100 US dollars for a correct answer. All of the following play a role in morphogenesis EXCEPT
