ID,Major_Subject,Full_Prompt,Correct_Answer_1,Reward_1,Correct_Answer_2,Reward_2,Correct_Answer_3,Reward_3,Correct_Answer_4,Reward_4
1,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. What does the idiom in this text suggest?
In such an unfamiliar environment, Johnny was a fish out of water. (10 points)
2. Which greeting is correct for a letter? (100 points)
3. What is the source of the allusion in the sentence below?
Yesterday's tennis match was a classic David and Goliath story, with Ryan playing against his former team captain, Ivan. (1 points)
4. Would you find the word did on a dictionary page with the following guide words?
dangle - drank (50 points)

Respond ONLY with the number (1-4) and the final answer.",Johnny felt out of place.,10,"Dear Nancy,",100,the Bible,1,yes,50
2,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Select the organism in the same species as the great gray owl. (100 points)
2. All organisms need food for energy. But how does an organism's body actually get energy out of food?
Select the true statement. (10 points)
3. Which animal's skin is better adapted to hurt an attacking predator? (50 points)
4. Select the fish below. (1 points)

Respond ONLY with the number (1-4) and the final answer.",Strix nebulosa,100,Breaking down molecules can release energy.,10,blowfish,50,tiger shark,1
3,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Washington? (100 points)
2. Which ocean is highlighted? (1 points)
3. What is the capital of Idaho? (50 points)
4. Which of these states is farthest north? (10 points)

Respond ONLY with the number (1-4) and the final answer.",Olympia,100,the Atlantic Ocean,1,Boise,50,West Virginia,10
4,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which figure of speech is used in this text?
Amy's Boutique claims to have ""something for everyone,"" but it is generally understood that their target market is women of a certain age. (50 points)
2. Which phrase has a more negative connotation? (10 points)
3. Which figure of speech is used in this text?
Jessica's sweater shrank just a bit. It fits her baby sister now. (1 points)
4. Which is a compound sentence? (100 points)

Respond ONLY with the number (1-4) and the final answer.",euphemism,50,a conceited person,10,understatement,1,"Mr. Clarke cleans the chimney, and Mrs. Clarke washes the car.",100
5,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature? (1 points)
2. What do these two changes have in common?
a banana getting ripe on the counter
newly poured concrete becoming hard (100 points)
3. Select the living thing. (50 points)
4. Select the organism in the same genus as the garden hyacinth. (10 points)

Respond ONLY with the number (1-4) and the final answer.",neither; the samples have the same temperature,1,Both are chemical changes.,100,yucca,50,Hyacinthus orientalis,10
6,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Minnesota? (10 points)
2. What is the capital of Wyoming? (100 points)
3. Which continent is highlighted? (1 points)
4. What is the name of the colony shown? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Saint Paul,10,Cheyenne,100,Antarctica,1,Massachusetts,50
7,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. What is the source of the allusion in the sentence below?
Zane described the situation he was facing with his boss as a catch-22. (100 points)
2. Which correctly shows the title of an article? (10 points)
3. Which of the following contains a vague pronoun reference? (1 points)
4. What does the euphemism in this text suggest?
These five-inch heels make the perfect accessory for vertically challenged fashionistas. (50 points)

Respond ONLY with the number (1-4) and the final answer.",literature,100,"""The Love of My Life""",10,"At lunchtime, Brian can often be found reading at his favorite café, where they provide unlimited coffee refills.",1,The heels are recommended for short people.,50
8,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Identify the question that Eliana's experiment can best answer. (1 points)
2. Is the following trait inherited or acquired?
Winston has naturally brown hair. (10 points)
3. What do these two changes have in common?
cooking a pancake
salt and vinegar removing tarnish from a penny (100 points)
4. Using only these supplies, which question can Alana investigate with an experiment? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Does linen fabric turn darker than cotton fabric when soaked in a mixture of black dye and water?,1,inherited,10,Both are chemical changes.,100,"When placed in the sun, does a glass jar wrapped in a black cotton shirt heat up more than a glass jar wrapped in a white cotton shirt?",50
9,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Utah? (50 points)
2. Complete the sentence.
Sitting Bull was an important () leader in the 1800s. (1 points)
3. What is the capital of Nebraska? (100 points)
4. Which sentence states a fact? (10 points)

Respond ONLY with the number (1-4) and the final answer.",Salt Lake City,50,Native American,1,Lincoln,100,Serena Williams began playing tennis when she was four years old.,10
10,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Based on the continuum scale, which birds have heavier eggs? (1 points)
2. What does the metaphor in this text suggest?
He reads incessantly; new ideas are food for his mind. (10 points)
3. Which of the following contains a vague pronoun reference? (50 points)
4. Which logical fallacy is used in the text?
Thanks to her enduring popularity with employees, Lucy Shepherd is the best-liked CEO in our company's history. (100 points)

Respond ONLY with the number (1-4) and the final answer.",swans,1,He is stimulated by new ideas.,10,"At lunchtime, Brian can often be found reading at his favorite café, where they provide unlimited coffee refills.",50,circular reasoning: an argument that supports a claim with the claim itself,100
