ID,Subject,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,philosophy,"To illustrate the attempt to do injustice with impunity, Cicero considers the story of:",87,"Please read the following question and answer it now. To illustrate the attempt to do injustice with impunity, Cicero considers the story of:","You will receive a great reward for a correct answer. To illustrate the attempt to do injustice with impunity, Cicero considers the story of:","You will receive 100 US dollars for a correct answer. To illustrate the attempt to do injustice with impunity, Cicero considers the story of:"
2,philosophy,Gauthier claims that moral agreements that are equally favorable to all parties are desirable because they:,107,Please read the following question and answer it now. Gauthier claims that moral agreements that are equally favorable to all parties are desirable because they:,You will receive a great reward for a correct answer. Gauthier claims that moral agreements that are equally favorable to all parties are desirable because they:,You will receive 100 US dollars for a correct answer. Gauthier claims that moral agreements that are equally favorable to all parties are desirable because they:
3,philosophy,"According to Parfit, both Taurek and Lewis assume that for there to be a “sum of pain,” it must be:",99,"Please read the following question and answer it now. According to Parfit, both Taurek and Lewis assume that for there to be a “sum of pain,” it must be:","You will receive a great reward for a correct answer. According to Parfit, both Taurek and Lewis assume that for there to be a “sum of pain,” it must be:","You will receive 100 US dollars for a correct answer. According to Parfit, both Taurek and Lewis assume that for there to be a “sum of pain,” it must be:"
4,philosophy,An important moral criterion of adequacy is known as _____.,59,Please read the following question and answer it now. An important moral criterion of adequacy is known as _____.,You will receive a great reward for a correct answer. An important moral criterion of adequacy is known as _____.,You will receive 100 US dollars for a correct answer. An important moral criterion of adequacy is known as _____.
5,philosophy,Stevenson’s primary aim in this paper is to:,44,Please read the following question and answer it now. Stevenson’s primary aim in this paper is to:,You will receive a great reward for a correct answer. Stevenson’s primary aim in this paper is to:,You will receive 100 US dollars for a correct answer. Stevenson’s primary aim in this paper is to:
6,philosophy,Aristotle saw his theory of the virtues as:,43,Please read the following question and answer it now. Aristotle saw his theory of the virtues as:,You will receive a great reward for a correct answer. Aristotle saw his theory of the virtues as:,You will receive 100 US dollars for a correct answer. Aristotle saw his theory of the virtues as:
7,philosophy,Nussbaum claims that recent anthropological work has shown that fear is:,72,Please read the following question and answer it now. Nussbaum claims that recent anthropological work has shown that fear is:,You will receive a great reward for a correct answer. Nussbaum claims that recent anthropological work has shown that fear is:,You will receive 100 US dollars for a correct answer. Nussbaum claims that recent anthropological work has shown that fear is:
8,philosophy,The control condition claims:,29,Please read the following question and answer it now. The control condition claims:,You will receive a great reward for a correct answer. The control condition claims:,You will receive 100 US dollars for a correct answer. The control condition claims:
9,philosophy,Hume divides our perceptions into two categories:,49,Please read the following question and answer it now. Hume divides our perceptions into two categories:,You will receive a great reward for a correct answer. Hume divides our perceptions into two categories:,You will receive 100 US dollars for a correct answer. Hume divides our perceptions into two categories:
10,philosophy,"In Butler’s view, injustice is caused by:",41,"Please read the following question and answer it now. In Butler’s view, injustice is caused by:","You will receive a great reward for a correct answer. In Butler’s view, injustice is caused by:","You will receive 100 US dollars for a correct answer. In Butler’s view, injustice is caused by:"
11,philosophy,Aquinas says that the first efficient cause of everything is _____.,67,Please read the following question and answer it now. Aquinas says that the first efficient cause of everything is _____.,You will receive a great reward for a correct answer. Aquinas says that the first efficient cause of everything is _____.,You will receive 100 US dollars for a correct answer. Aquinas says that the first efficient cause of everything is _____.
12,philosophy,Hare claims that a person who refuses to make any positive moral judgments:,75,Please read the following question and answer it now. Hare claims that a person who refuses to make any positive moral judgments:,You will receive a great reward for a correct answer. Hare claims that a person who refuses to make any positive moral judgments:,You will receive 100 US dollars for a correct answer. Hare claims that a person who refuses to make any positive moral judgments:
13,philosophy,"According to Gauthier, the basis of morality is:",48,"Please read the following question and answer it now. According to Gauthier, the basis of morality is:","You will receive a great reward for a correct answer. According to Gauthier, the basis of morality is:","You will receive 100 US dollars for a correct answer. According to Gauthier, the basis of morality is:"
14,philosophy,"According to Hume, reason:",26,"Please read the following question and answer it now. According to Hume, reason:","You will receive a great reward for a correct answer. According to Hume, reason:","You will receive 100 US dollars for a correct answer. According to Hume, reason:"
15,philosophy,"Moore claims that there is no meaning in saying that pleasure is good, unless:",78,"Please read the following question and answer it now. Moore claims that there is no meaning in saying that pleasure is good, unless:","You will receive a great reward for a correct answer. Moore claims that there is no meaning in saying that pleasure is good, unless:","You will receive 100 US dollars for a correct answer. Moore claims that there is no meaning in saying that pleasure is good, unless:"
16,philosophy,"According to the Ideal Moral Code theory, one is obligated to do what the ideal moral rules would require:",106,"Please read the following question and answer it now. According to the Ideal Moral Code theory, one is obligated to do what the ideal moral rules would require:","You will receive a great reward for a correct answer. According to the Ideal Moral Code theory, one is obligated to do what the ideal moral rules would require:","You will receive 100 US dollars for a correct answer. According to the Ideal Moral Code theory, one is obligated to do what the ideal moral rules would require:"
17,philosophy,Parfit claims that the magnitude of pains:,42,Please read the following question and answer it now. Parfit claims that the magnitude of pains:,You will receive a great reward for a correct answer. Parfit claims that the magnitude of pains:,You will receive 100 US dollars for a correct answer. Parfit claims that the magnitude of pains:
18,philosophy,"Epictetus claims that when someone strikes you, what really angers you is:",74,"Please read the following question and answer it now. Epictetus claims that when someone strikes you, what really angers you is:","You will receive a great reward for a correct answer. Epictetus claims that when someone strikes you, what really angers you is:","You will receive 100 US dollars for a correct answer. Epictetus claims that when someone strikes you, what really angers you is:"
19,philosophy,"In Aquinas’s view, man’s ultimate happiness consists in:",56,"Please read the following question and answer it now. In Aquinas’s view, man’s ultimate happiness consists in:","You will receive a great reward for a correct answer. In Aquinas’s view, man’s ultimate happiness consists in:","You will receive 100 US dollars for a correct answer. In Aquinas’s view, man’s ultimate happiness consists in:"
20,philosophy,Augustine claims that Academic skepticism:,42,Please read the following question and answer it now. Augustine claims that Academic skepticism:,You will receive a great reward for a correct answer. Augustine claims that Academic skepticism:,You will receive 100 US dollars for a correct answer. Augustine claims that Academic skepticism:
21,philosophy,Feinberg claims that most arguments for psychological egoism:,61,Please read the following question and answer it now. Feinberg claims that most arguments for psychological egoism:,You will receive a great reward for a correct answer. Feinberg claims that most arguments for psychological egoism:,You will receive 100 US dollars for a correct answer. Feinberg claims that most arguments for psychological egoism:
22,philosophy,Epictetus claims that the only thing one can call one’s own is:,63,Please read the following question and answer it now. Epictetus claims that the only thing one can call one’s own is:,You will receive a great reward for a correct answer. Epictetus claims that the only thing one can call one’s own is:,You will receive 100 US dollars for a correct answer. Epictetus claims that the only thing one can call one’s own is:
23,philosophy,One objection to Singer’s theory that he considers is that it:,62,Please read the following question and answer it now. One objection to Singer’s theory that he considers is that it:,You will receive a great reward for a correct answer. One objection to Singer’s theory that he considers is that it:,You will receive 100 US dollars for a correct answer. One objection to Singer’s theory that he considers is that it:
24,philosophy,"According to Rawls, we can enter the original position:",55,"Please read the following question and answer it now. According to Rawls, we can enter the original position:","You will receive a great reward for a correct answer. According to Rawls, we can enter the original position:","You will receive 100 US dollars for a correct answer. According to Rawls, we can enter the original position:"
25,philosophy,The theory that says mental states are nothing but brain states is known as _____.,82,Please read the following question and answer it now. The theory that says mental states are nothing but brain states is known as _____.,You will receive a great reward for a correct answer. The theory that says mental states are nothing but brain states is known as _____.,You will receive 100 US dollars for a correct answer. The theory that says mental states are nothing but brain states is known as _____.
26,philosophy,Wolf claims that morality:,26,Please read the following question and answer it now. Wolf claims that morality:,You will receive a great reward for a correct answer. Wolf claims that morality:,You will receive 100 US dollars for a correct answer. Wolf claims that morality:
